id;name;url;regular_price;promo_price;brand
621673;METRO Chef Сыр Чеддар красный полутвердый нарезка 50%, 1кг;https://online.metro-cc.ru/products/cheddar-krasnyj-narezka-50-metro-chef-1000-g;1.289;;METRO CHEF
532094;Сыр Natura Тильзитер полутвердый 45%, 250г;https://online.metro-cc.ru/products/arla-natura-tilziter-250-g-bzmzh;319.0;269.0;NATURA
226177;Сыр Тысяча озёр Легкий полутвердый 15%, 200г;https://online.metro-cc.ru/products/200g-syr-legkiy-15-tysyacha-ozyor-kusok-bzmzh;226.0;169.0;ТЫСЯЧА ОЗЁР
255120;METRO Chef Сыр российский сливочный 45%, ~3кг;https://online.metro-cc.ru/products/3kg-syr-rossiyskiy-45-metro-chef-slivochnyy-bzmzh;849.0;;METRO CHEF
621687;METRO Chef Сыр Маасдам 45%, ~1кг;https://online.metro-cc.ru/products/metro-chef-maasdam-45-bez-soderzhaniya-molochnogo-zhira-1-kg;1.139;;METRO CHEF
216771;METRO Chef Бри 60%, 125г;https://online.metro-cc.ru/products/125g-syr-bri-60-metro-chef-bzmzh;213.0;159.0;METRO CHEF
216926;aro Сыр российский 50%, 200г;https://online.metro-cc.ru/products/200g-syr-rossiyskiy-50-aro-bzmzh;144.0;;ARO
134954;Сыр плавленый Hochland Чизбургер в ломтиках 45%, 150г;https://online.metro-cc.ru/products/plavlenyj-hochland-chizburger-45-150g-bzmzh;142.0;146.0;HOCHLAND
511282;Сыр Брест-Литовск Классический полутвердый нарезка 45%, 150г;https://online.metro-cc.ru/products/brest-litovskoe-klassicheskij-45-narezka-150g-bzmzh;177.0;;БРЕСТ-ЛИТОВСК
339785;Продукт рассольный Сиртаки Original комбинированный для греческого салата 55%, 200г;https://online.metro-cc.ru/products/produkt-sirtaki-kombinirovannyj-smeshannogo-sostava-dlya-grecheskogo-salata-200g-bzmzh;135.0;;СИРТАКИ
584205;Сыр творожный Hochland для кулинарии 65%, 400г;https://online.metro-cc.ru/products/hochland-400g-bzmzh;349.0;359.0;HOCHLAND
118312;METRO Chef Сыр тертый для макарон 45%, 500г;https://online.metro-cc.ru/products/500g-50-tyortyj-d-makaron-metro-chef-bzmzh;399.0;419.0;METRO CHEF
124474;Сыр Dolce Deluxe Пармезан твердый 34%, 200г;https://online.metro-cc.ru/products/200g-34-parmezan-dolce-deluxe-9m-bzmzh;409.0;;DOLCE
132386;Сыр творожный Виолетта ароматная зелень 70%, 140г;https://online.metro-cc.ru/products/syr-tvorozhnyy-70-violetta-zelen-140g-bzmzh;114.0;99.0;ВИОЛЕТТА
255115;METRO Chef Сыр российский сливочный 45%, ~1кг;https://online.metro-cc.ru/products/1kg-syr-rossiyskiy-45-metro-chef-slivochnyy-bzmzh;949.0;749.0;METRO CHEF
547741;Сыр Milkana GrandBlu Creamy с голубой плесенью, 100г;https://online.metro-cc.ru/products/milkana-grand-blu-creamy-100-g-bzmzh;273.0;259.0;GRANDBLU
